order_id,product_id,unit_price,quantity,discount,total_sale,soma,repeticoes_doid,media,ano_mes
10248,11,"14,00",12,0,168,440,3,"146,6666667",1996-07
10248,42,"9,80",10,0,98,440,3,"146,6666667",1996-07
10248,72,"34,80",5,0,174,440,3,"146,6666667",1996-07
10249,14,"18,60",9,0,"167,4","1863,4",2,"931,7",1996-07
10249,51,"42,40",40,0,1696,"1863,4",2,"931,7",1996-07
10250,41,"7,70",10,0,77,"1552,6",3,"517,5333333",1996-07
10250,51,"42,40",35,"0,15","1261,4","1552,6",3,"517,5333333",1996-07
10250,65,"16,80",15,"0,15","214,2","1552,6",3,"517,5333333",1996-07
10251,22,"16,80",6,"0,05","95,76","654,06",3,"218,02",1996-07
10251,57,"15,60",15,"0,05","222,3","654,06",3,"218,02",1996-07
10251,65,"16,80",20,0,336,"654,06",3,"218,02",1996-07
10252,20,"64,80",40,"0,05","2462,4","3597,9",3,"1199,3",1996-07
10252,33,"2,00",25,"0,05","47,5","3597,9",3,"1199,3",1996-07
10252,60,"27,20",40,0,1088,"3597,9",3,"1199,3",1996-07
10253,31,"10,00",20,0,200,"1444,8",3,"481,6",1996-07
10253,39,"14,40",42,0,"604,8","1444,8",3,"481,6",1996-07
10253,49,"16,00",40,0,640,"1444,8",3,"481,6",1996-07
10254,24,"3,60",15,"0,15","45,9","556,62",3,"185,54",1996-07
10254,55,"19,20",21,"0,15","342,72","556,62",3,"185,54",1996-07
10254,74,"8,00",21,0,168,"556,62",3,"185,54",1996-07
10255,2,"15,20",20,0,304,"2490,5",4,"622,625",1996-07
10255,16,"13,90",35,0,"486,5","2490,5",4,"622,625",1996-07
10255,36,"15,20",25,0,380,"2490,5",4,"622,625",1996-07
10255,59,"44,00",30,0,1320,"2490,5",4,"622,625",1996-07
10256,53,"26,20",15,0,393,"517,8",2,"258,9",1996-07
10256,77,"10,40",12,0,"124,8","517,8",2,"258,9",1996-07
10257,27,"35,10",25,0,"877,5","1119,9",3,"373,3",1996-07
10257,39,"14,40",6,0,"86,4","1119,9",3,"373,3",1996-07
10257,77,"10,40",15,0,156,"1119,9",3,"373,3",1996-07
10258,2,"15,20",50,"0,2",608,"1614,88",3,"538,2933333",1996-07
10258,5,"17,00",65,"0,2",884,"1614,88",3,"538,2933333",1996-07
10258,32,"25,60",6,"0,2","122,88","1614,88",3,"538,2933333",1996-07
10259,21,"8,00",10,0,80,"100,8",2,"50,4",1996-07
10259,37,"20,80",1,0,"20,8","100,8",2,"50,4",1996-07
10260,41,"7,70",16,"0,25","92,4","1504,65",4,"376,1625",1996-07
10260,57,"15,60",50,0,780,"1504,65",4,"376,1625",1996-07
10260,62,"39,40",15,"0,25","443,25","1504,65",4,"376,1625",1996-07
10260,70,"12,00",21,"0,25",189,"1504,65",4,"376,1625",1996-07
10261,21,"8,00",20,0,160,448,2,224,1996-07
10261,35,"14,40",20,0,288,448,2,224,1996-07
10262,5,"17,00",12,"0,2","163,2",584,3,"194,6666667",1996-07
10262,7,"24,00",15,0,360,584,3,"194,6666667",1996-07
10262,56,"30,40",2,0,"60,8",584,3,"194,6666667",1996-07
10263,16,"13,90",60,"0,25","625,5","1873,8",4,"468,45",1996-07
10263,24,"3,60",28,0,"100,8","1873,8",4,"468,45",1996-07
10263,30,"20,70",60,"0,25","931,5","1873,8",4,"468,45",1996-07
10263,74,"8,00",36,"0,25",216,"1873,8",4,"468,45",1996-07
10264,2,"15,20",35,0,532,"695,625",2,"347,8125",1996-07
10264,41,"7,70",25,"0,15","163,625","695,625",2,"347,8125",1996-07
10265,17,"31,20",30,0,936,1176,2,588,1996-07
10265,70,"12,00",20,0,240,1176,2,588,1996-07
10266,12,"30,40",12,"0,05","346,56","346,56",1,"346,56",1996-07
10267,40,"14,70",50,0,735,"3536,6",3,"1178,866667",1996-07
10267,59,"44,00",70,"0,15",2618,"3536,6",3,"1178,866667",1996-07
10267,76,"14,40",15,"0,15","183,6","3536,6",3,"1178,866667",1996-07
10268,29,"99,00",10,0,990,"1101,2",2,"550,6",1996-07
10268,72,"27,80",4,0,"111,2","1101,2",2,"550,6",1996-07
10269,33,"2,00",60,"0,05",114,"642,2",2,"321,1",1996-07
10269,72,"27,80",20,"0,05","528,2","642,2",2,"321,1",1996-07
10270,36,"15,20",30,0,456,1376,2,688,1996-08
10270,43,"36,80",25,0,920,1376,2,688,1996-08
10271,33,"2,00",24,0,48,48,1,48,1996-08
10272,20,"64,80",6,0,"388,8",1456,3,"485,3333333",1996-08
10272,31,"10,00",40,0,400,1456,3,"485,3333333",1996-08
10272,72,"27,80",24,0,"667,2",1456,3,"485,3333333",1996-08
10273,10,"24,80",24,"0,05","565,44","2037,28",5,"407,456",1996-08
10273,31,"10,00",15,"0,05","142,5","2037,28",5,"407,456",1996-08
10273,33,"2,00",20,0,40,"2037,28",5,"407,456",1996-08
10273,40,"14,70",60,"0,05","837,9","2037,28",5,"407,456",1996-08
10273,76,"14,40",33,"0,05","451,44","2037,28",5,"407,456",1996-08
10274,71,"17,20",20,0,344,"538,6",2,"269,3",1996-08
10274,72,"27,80",7,0,"194,6","538,6",2,"269,3",1996-08
10275,24,"3,60",12,"0,05","41,04","291,84",2,"145,92",1996-08
10275,59,"44,00",6,"0,05","250,8","291,84",2,"145,92",1996-08
10276,10,"24,80",15,0,372,420,2,210,1996-08
10276,13,"4,80",10,0,48,420,2,210,1996-08
10277,28,"36,40",20,0,728,"1200,8",2,"600,4",1996-08
