customer_id,first_order_date,first_employee_id,first_employee_first_name
ALFKI,1997-08-25,6,Michael
ANATR,1996-09-18,7,Robert
ANTON,1996-11-27,3,Janet
AROUT,1996-11-15,6,Michael
BERGS,1996-08-12,8,Laura
BLAUS,1997-04-09,9,Anne
BLONP,1996-07-25,2,Andrew
BOLID,1996-10-10,4,Margaret
BONAP,1996-10-16,9,Anne
BOTTM,1996-12-20,4,Margaret
BSBEV,1996-08-26,7,Robert
CACTU,1997-04-29,8,Laura
CENTC,1996-07-18,4,Margaret
CHOPS,1996-07-11,5,Steven
COMMI,1996-08-27,8,Laura
CONSH,1997-02-04,8,Laura
DRACD,1996-11-26,4,Margaret
DUMON,1996-09-20,1,Nancy
EASTC,1996-11-26,1,Nancy
ERNSH,1996-07-17,1,Nancy
FAMIA,1996-11-06,4,Margaret
FOLIG,1997-01-08,8,Laura
FOLKO,1996-07-24,6,Michael
FRANK,1996-07-29,4,Margaret
FRANR,1997-09-17,1,Nancy
FRANS,1997-01-22,2,Andrew
FURIB,1996-10-14,4,Margaret
GALED,1996-11-28,8,Laura
GODOS,1996-09-11,7,Robert
GOURL,1997-01-23,6,Michael
GREAL,1997-05-06,6,Michael
GROSR,1996-07-30,8,Laura
HANAR,1996-07-08,4,Margaret
HILAA,1996-07-16,4,Margaret
HUNGC,1996-12-06,3,Janet
HUNGO,1996-09-05,6,Michael
ISLAT,1996-09-26,4,Margaret
KOENE,1996-10-07,4,Margaret
LACOR,1998-01-29,2,Andrew
LAMAI,1996-11-11,6,Michael
LAUGB,1997-04-03,3,Janet
LAZYK,1997-03-21,1,Nancy
LEHMS,1996-08-13,8,Laura
LETSS,1997-06-25,1,Nancy
LILAS,1996-08-16,3,Janet
LINOD,1997-01-06,1,Nancy
LONEP,1996-09-17,2,Andrew
MAGAA,1996-08-07,1,Nancy
MAISD,1997-05-07,5,Steven
MEREP,1996-10-17,3,Janet
MORGK,1996-08-09,2,Andrew
NORTS,1997-04-24,3,Janet
OCEAN,1997-01-09,3,Janet
OLDWO,1996-09-13,8,Laura
OTTIK,1996-07-19,4,Margaret
PERIC,1996-10-04,7,Robert
PICCO,1996-11-13,7,Robert
PRINI,1996-10-23,7,Robert
QUEDE,1996-07-19,4,Margaret
QUEEN,1996-12-04,5,Steven
QUICK,1996-08-05,3,Janet
RANCH,1997-02-17,4,Margaret
RATTC,1996-07-22,8,Laura
REGGC,1996-08-23,4,Margaret
RICAR,1996-08-22,8,Laura
RICSU,1996-07-12,9,Anne
ROMEY,1996-08-14,4,Margaret
SANTG,1996-12-18,1,Nancy
SAVEA,1996-10-08,9,Anne
SEVES,1996-11-21,5,Steven
SIMOB,1996-10-29,7,Robert
SPECD,1997-11-12,2,Andrew
SPLIR,1996-08-01,6,Michael
SUPRD,1996-07-09,4,Margaret
THEBI,1996-09-20,8,Laura
THECR,1997-08-07,4,Margaret
TOMSP,1996-07-05,6,Michael
TORTU,1996-08-08,8,Laura
TRADH,1996-08-28,1,Nancy
TRAIH,1997-06-19,4,Margaret
VAFFE,1996-11-28,7,Robert
VICTE,1996-07-08,3,Janet
VINET,1996-07-04,5,Steven
WANDK,1996-09-09,8,Laura
WARTH,1996-07-26,3,Janet
WELLI,1996-07-15,3,Janet
WHITC,1996-07-31,5,Steven
WILMK,1997-07-30,2,Andrew
WOLZA,1996-12-05,1,Nancy
